Fecha,Plazo,Caucion,Simul
8/1/2025,3,0.28045508,#N/A
8/4/2025,1,0.28464023,#N/A
8/5/2025,1,0.28882253,#N/A
8/6/2025,1,0.3171392,#N/A
8/7/2025,1,0.39060289,#N/A
8/8/2025,3,0.43381069,#N/A
8/11/2025,1,0.45093315,#N/A
8/12/2025,1,0.48559092,#N/A
8/13/2025,1,0.5978011,#N/A
8/14/2025,4,0.69299044,#N/A
8/18/2025,1,0.41492685,#N/A
8/19/2025,1,0.31069018,#N/A
8/20/2025,1,0.43088851,0.3962
8/21/2025,1,0.50404871,0.5253
8/22/2025,3,0.51291061,0.5261
8/25/2025,1,0.51520504,0.5258
8/26/2025,1,0.48488203,0.5252
8/27/2025,1,0.47858912,0.5079
8/28/2025,1,0.4804357,0.5002
8/29/2025,3,0.43688873,0.4585
9/1/2025,1,0.43095465,0.45
9/2/2025,1,0.42835225,0.4501
9/3/2025,1,0.42275785,0.4498
9/4/2025,1,0.42038696,0.45
9/5/2025,3,0.43290178,0.45
9/8/2025,1,0.44159944,0.4499
9/9/2025,1,0.37621499,0.4008
9/10/2025,1,0.3273527,0.3505
9/11/2025,1,0.32891084,0.35
9/12/2025,3,0.33128997,0.35
9/15/2025,1,0.32590602,0.35
9/16/2025,1,0.32987274,0.349
9/17/2025,1,0.33010314,0.3496
9/18/2025,1,0.32771174,0.3502
9/19/2025,3,0.33211129,0.3511
9/22/2025,1,0.3316761,0.3522
9/23/2025,1,0.33116344,0.3531
9/24/2025,1,0.24465935,0.2516
9/25/2025,1,0.23163731,0.2504
9/26/2025,3,0.22246457,0.2503
9/29/2025,1,0.2263314,0.2502
9/30/2025,1,0.22010984,0.2500
10/1/2025,1,0.23213297,0.2500
10/2/2025,1,0.23338838,0.2500
10/3/2025,3,0.23748544,0.2500
10/6/2025,1,0.26102648,0.2500
10/7/2025,1,0.32670353,0.2500
10/8/2025,1,0.4036,0.3938
